I1130 18:11:16.000055       1 store.go:138] Creating packagerev porch-test-1701367864418973/delete-and-recreate-ea94fb01093e24716c93d22a4669b5b47915eea1
I1130 18:11:16.014373       1 repository.go:549] repo porch-test-1701367864418973/delete-and-recreate: addMeta 1, delMeta 0, addSent 0, modSent 0, delSent 0 for 1 in-cache and 2 in-storage package revisions
I1130 18:11:16.014408       1 repository.go:379] repo porch-test-1701367864418973/delete-and-recreate: reconcile for close-draft finished in 0.029353 secs
I1130 18:11:16.020240       1 store.go:185] Updating packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.037938       1 engine.go:719] engine: sent 0 for updated PackageRevision porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.197159       1 store.go:185] Updating packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.318201       1 engine.go:592] engine: sent 0 for updated PackageRevision metadata porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.466104       1 webhooks.go:255] received request to validate deletion
I1130 18:11:16.513242       1 store.go:209] Deleting packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.528554       1 engine.go:873] PackageRevision delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573 deleted for real since no finalizers
I1130 18:11:16.563792       1 git.go:400] repo porch-test-1701367864418973/delete-and-recreate: 0 draftCache, 0 draftLoaded, 0 tagCache, 0 tagLoaded, 1 mainCache, 0 mainLoaded
I1130 18:11:16.593768       1 store.go:209] Deleting packagerev porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.598445       1 repository.go:549] repo porch-test-1701367864418973/delete-and-recreate: addMeta 0, delMeta 1, addSent 0, modSent 0, delSent 0 for 2 in-cache and 1 in-storage package revisions
I1130 18:11:16.598472       1 repository.go:379] repo porch-test-1701367864418973/delete-and-recreate: reconcile for delete finished in 0.064118 secs
I1130 18:11:16.603717       1 engine.go:898] engine: sent 0 for deleted PackageRevision porch-test-1701367864418973/delete-and-recreate-e92b26f0e6525dfcba06624ccf5f8754c8b64573
I1130 18:11:16.709161       1 repository.go:379] repo porch-test-1701367864418973/delete-and-recreate: reconcile for create finished in 0.007366 secs
I1130 18:11:16.715198       1 render.go:62] Package "/": 
I1130 18:11:16.715596       1 render.go:62] Successfully executed 0 function(s) in 1 package(s).
